filename,neurite_area_um2,bead_count,beads_per_1000um2,scale_um_per_pixel,neurite_threshold,bead_threshold
Glutamate.czi,12940.113636719998,96,7.41879110918949,0.3126,25.650406143369075,217.0
Untreated.czi,14105.214412199999,58,4.111954508811589,0.3126,20.440131938224518,168.0
